logistic_regression_m_a_b__e_greedy_eps_0.0,logistic_regression_m_a_b__softmax_tau_0.2,decision_tree_regressor_m_a_b__e_greedy_eps_0.0,decision_tree_regressor_m_a_b__softmax_tau_0.2,m_l_p_regressor_m_a_b__e_greedy_eps_0.0,m_l_p_regressor_m_a_b__softmax_tau_0.2,logistic_regression_per_arm__e_greedy_eps_0.0,logistic_regression_per_arm__softmax_tau_0.2,decision_tree_regressor_per_arm__e_greedy_eps_0.0,decision_tree_regressor_per_arm__softmax_tau_0.2,m_l_p_regressor_per_arm__e_greedy_eps_0.0,m_l_p_regressor_per_arm__softmax_tau_0.2,logistic_regression_m_a_b__dynamic__e_greedy_eps_0.0,logistic_regression_m_a_b__dynamic__softmax_tau_0.2,decision_tree_regressor_m_a_b__dynamic__e_greedy_eps_0.0,decision_tree_regressor_m_a_b__dynamic__softmax_tau_0.2,m_l_p_regressor_m_a_b__dynamic__e_greedy_eps_0.0,m_l_p_regressor_m_a_b__dynamic__softmax_tau_0.2,logistic_regression_per_arm__dynamic__e_greedy_eps_0.0,logistic_regression_per_arm__dynamic__softmax_tau_0.2,decision_tree_regressor_per_arm__dynamic__e_greedy_eps_0.0,decision_tree_regressor_per_arm__dynamic__softmax_tau_0.2,m_l_p_regressor_per_arm__dynamic__e_greedy_eps_0.0,m_l_p_regressor_per_arm__dynamic__softmax_tau_0.2
1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
0.5,1.0,0.0,1.0,0.0,0.5,0.5,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5
0.3333333333333333,0.6666666666666666,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333
0.25,0.5,0.0,1.0,0.0,0.5,0.25,0.25,0.0,0.75,0.25,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.75,0.25,0.5,0.0,0.5
0.4,0.6,0.2,1.0,0.0,0.6,0.2,0.4,0.0,0.6,0.2,0.6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6,0.2,0.4,0.2,0.4
0.3333333333333333,0.5,0.16666666666666666,1.0,0.0,0.5,0.16666666666666666,0.3333333333333333,0.0,0.5,0.16666666666666666,0.6666666666666666,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.16666666666666666,0.5,0.16666666666666666,0.5
0.2857142857142857,0.42857142857142855,0.14285714285714285,1.0,0.0,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.0,0.5714285714285714,0.14285714285714285,0.7142857142857143,0.0,0.0,0.0,1.0,0.0,0.0,0.14285714285714285,0.5714285714285714,0.14285714285714285,0.5714285714285714,0.14285714285714285,0.5714285714285714
0.25,0.375,0.125,1.0,0.0,0.5,0.25,0.25,0.0,0.5,0.125,0.625,0.125,0.125,0.0,1.0,0.0,0.125,0.125,0.5,0.125,0.5,0.125,0.625
0.2222222222222222,0.4444444444444444,0.1111111111111111,1.0,0.0,0.4444444444444444,0.3333333333333333,0.2222222222222222,0.0,0.5555555555555556,0.1111111111111111,0.6666666666666666,0.2222222222222222,0.2222222222222222,0.0,1.0,0.0,0.1111111111111111,0.1111111111111111,0.4444444444444444,0.1111111111111111,0.4444444444444444,0.1111111111111111,0.5555555555555556
0.2,0.4,0.1,1.0,0.0,0.5,0.3,0.3,0.0,0.6,0.1,0.6,0.2,0.3,0.1,1.0,0.0,0.2,0.1,0.5,0.1,0.5,0.1,0.6
0.18181818181818182,0.36363636363636365,0.09090909090909091,1.0,0.0,0.5454545454545454,0.2727272727272727,0.2727272727272727,0.0,0.6363636363636364,0.09090909090909091,0.6363636363636364,0.18181818181818182,0.36363636363636365,0.09090909090909091,1.0,0.0,0.2727272727272727,0.18181818181818182,0.45454545454545453,0.09090909090909091,0.45454545454545453,0.09090909090909091,0.6363636363636364
