ContextualEpsilonGreedyNeuralBandit_1.0,ContextualEpsilonGreedyNeuralBandit_0.9,ContextualEpsilonGreedyNeuralPerArmBandit_1.0,ContextualEpsilonGreedyNeuralPerArmBandit_0.9,ContextualEpsilonGreedyLogisticBandit_1.0,ContextualEpsilonGreedyLogisticBandit_0.9,ContextualEpsilonGreedyLogisticPerArmBandit_1.0,ContextualEpsilonGreedyLogisticPerArmBandit_0.9,ContextualEpsilonGreedyTreeBandit_1.0,ContextualEpsilonGreedyTreeBandit_0.9,ContextualEpsilonGreedyTreePerArmBandit_1.0,ContextualEpsilonGreedyTreePerArmBandit_0.9,ContextualSoftmaxNeuralBandit_0.2,ContextualSoftmaxNeuralBandit_0.5,ContextualSoftmaxNeuralPerArmBandit_0.2,ContextualSoftmaxNeuralPerArmBandit_0.5,ContextualSoftmaxLogisticBandit_0.2,ContextualSoftmaxLogisticBandit_0.5,ContextualSoftmaxLogisticPerArmBandit_0.2,ContextualSoftmaxLogisticPerArmBandit_0.5,ContextualSoftmaxTreeBandit_0.2,ContextualSoftmaxTreeBandit_0.5,ContextualSoftmaxTreePerArmBandit_0.2,ContextualSoftmaxTreePerArmBandit_0.5,ContextualEpsilonGreedyTreeSamplingBandit_1.0,ContextualEpsilonGreedyTreeSamplingBandit_0.9,ContextualSoftmaxTreeSamplingBandit_0.2,ContextualSoftmaxTreeSamplingBandit_0.5
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.5,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5
0.6666666666666666,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333
0.75,0.5,0.0,0.25,0.5,0.0,0.25,0.25,0.0,0.0,0.75,0.75,0.25,0.0,0.0,0.5,0.25,0.25,0.0,0.25,0.0,0.0,0.25,0.25,0.25,0.0,0.25,0.25
0.8,0.6,0.0,0.2,0.4,0.0,0.2,0.2,0.0,0.2,0.8,0.6,0.4,0.0,0.0,0.4,0.2,0.2,0.0,0.4,0.2,0.0,0.2,0.4,0.2,0.0,0.2,0.2
0.8333333333333334,0.5,0.0,0.3333333333333333,0.5,0.0,0.3333333333333333,0.3333333333333333,0.0,0.1666666666666666,0.8333333333333334,0.6666666666666666,0.5,0.0,0.0,0.3333333333333333,0.1666666666666666,0.3333333333333333,0.0,0.3333333333333333,0.1666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.0,0.3333333333333333,0.16666666666666666
0.8571428571428571,0.5714285714285714,0.0,0.2857142857142857,0.4285714285714285,0.0,0.4285714285714285,0.4285714285714285,0.0,0.1428571428571428,0.8571428571428571,0.7142857142857143,0.4285714285714285,0.0,0.1428571428571428,0.2857142857142857,0.1428571428571428,0.2857142857142857,0.0,0.2857142857142857,0.1428571428571428,0.0,0.4285714285714285,0.2857142857142857,0.14285714285714285,0.0,0.2857142857142857,0.14285714285714285
0.875,0.625,0.0,0.25,0.375,0.0,0.5,0.5,0.0,0.125,0.875,0.75,0.375,0.0,0.125,0.25,0.125,0.375,0.125,0.25,0.25,0.0,0.5,0.375,0.125,0.0,0.25,0.125
0.8888888888888888,0.5555555555555556,0.0,0.2222222222222222,0.3333333333333333,0.0,0.4444444444444444,0.4444444444444444,0.0,0.1111111111111111,0.8888888888888888,0.7777777777777778,0.3333333333333333,0.0,0.1111111111111111,0.2222222222222222,0.2222222222222222,0.4444444444444444,0.1111111111111111,0.3333333333333333,0.3333333333333333,0.0,0.5555555555555556,0.4444444444444444,0.1111111111111111,0.0,0.3333333333333333,0.1111111111111111
0.8,0.5,0.0,0.2,0.3,0.1,0.4,0.4,0.1,0.2,0.8,0.7,0.3,0.0,0.1,0.2,0.2,0.4,0.2,0.3,0.3,0.0,0.5,0.4,0.1,0.0,0.3,0.1
0.8181818181818182,0.5454545454545454,0.0909090909090909,0.1818181818181818,0.2727272727272727,0.0909090909090909,0.4545454545454545,0.4545454545454545,0.0909090909090909,0.1818181818181818,0.8181818181818182,0.7272727272727273,0.3636363636363636,0.0,0.0909090909090909,0.1818181818181818,0.1818181818181818,0.3636363636363636,0.1818181818181818,0.3636363636363636,0.3636363636363636,0.0,0.5454545454545454,0.3636363636363636,0.18181818181818182,0.0,0.2727272727272727,0.09090909090909091
0.75,0.5,0.0833333333333333,0.1666666666666666,0.25,0.0833333333333333,0.4166666666666667,0.4166666666666667,0.0833333333333333,0.1666666666666666,0.75,0.6666666666666666,0.3333333333333333,0.0,0.0833333333333333,0.1666666666666666,0.1666666666666666,0.3333333333333333,0.1666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.5,0.3333333333333333,0.25,0.0,0.25,0.08333333333333333
0.7692307692307693,0.5384615384615384,0.1538461538461538,0.1538461538461538,0.2307692307692307,0.0769230769230769,0.3846153846153846,0.3846153846153846,0.0769230769230769,0.2307692307692307,0.7692307692307693,0.6923076923076923,0.3846153846153846,0.0769230769230769,0.0769230769230769,0.1538461538461538,0.1538461538461538,0.3076923076923077,0.1538461538461538,0.3846153846153846,0.3076923076923077,0.0,0.4615384615384615,0.3846153846153846,0.23076923076923078,0.07692307692307693,0.23076923076923078,0.07692307692307693
0.7142857142857143,0.5,0.1428571428571428,0.1428571428571428,0.2857142857142857,0.1428571428571428,0.3571428571428571,0.3571428571428571,0.0714285714285714,0.2857142857142857,0.7142857142857143,0.6428571428571429,0.3571428571428571,0.0714285714285714,0.0714285714285714,0.2142857142857142,0.1428571428571428,0.2857142857142857,0.1428571428571428,0.3571428571428571,0.2857142857142857,0.0,0.4285714285714285,0.3571428571428571,0.2857142857142857,0.07142857142857142,0.21428571428571427,0.07142857142857142
0.7333333333333333,0.5333333333333333,0.1333333333333333,0.1333333333333333,0.3333333333333333,0.1333333333333333,0.4,0.4,0.0666666666666666,0.2666666666666666,0.7333333333333333,0.6666666666666666,0.3333333333333333,0.0666666666666666,0.0666666666666666,0.2,0.1333333333333333,0.3333333333333333,0.1333333333333333,0.3333333333333333,0.2666666666666666,0.0,0.4666666666666667,0.3333333333333333,0.26666666666666666,0.06666666666666667,0.26666666666666666,0.06666666666666667
0.75,0.5625,0.125,0.1875,0.3125,0.1875,0.375,0.4375,0.0625,0.25,0.75,0.6875,0.3125,0.0625,0.0625,0.1875,0.125,0.3125,0.125,0.375,0.25,0.0,0.4375,0.3125,0.25,0.0625,0.3125,0.0625
0.7058823529411765,0.5294117647058824,0.1176470588235294,0.1764705882352941,0.2941176470588235,0.1764705882352941,0.3529411764705882,0.4117647058823529,0.0588235294117647,0.2352941176470588,0.7058823529411765,0.6470588235294118,0.3529411764705882,0.0588235294117647,0.1176470588235294,0.1764705882352941,0.1176470588235294,0.3529411764705882,0.1764705882352941,0.3529411764705882,0.2352941176470588,0.0,0.4117647058823529,0.2941176470588235,0.23529411764705882,0.058823529411764705,0.35294117647058826,0.058823529411764705
0.7222222222222222,0.5555555555555556,0.1666666666666666,0.2222222222222222,0.2777777777777778,0.2222222222222222,0.3333333333333333,0.3888888888888889,0.0555555555555555,0.2222222222222222,0.7222222222222222,0.6666666666666666,0.3888888888888889,0.1111111111111111,0.1111111111111111,0.1666666666666666,0.1111111111111111,0.3333333333333333,0.1666666666666666,0.3888888888888889,0.2222222222222222,0.0,0.3888888888888889,0.3333333333333333,0.2222222222222222,0.05555555555555555,0.3333333333333333,0.05555555555555555
0.7368421052631579,0.5789473684210527,0.2105263157894736,0.2105263157894736,0.3157894736842105,0.2105263157894736,0.3157894736842105,0.3684210526315789,0.0526315789473684,0.2105263157894736,0.7368421052631579,0.6842105263157895,0.3684210526315789,0.1052631578947368,0.1052631578947368,0.1578947368421052,0.1578947368421052,0.3157894736842105,0.1578947368421052,0.3684210526315789,0.2105263157894736,0.0526315789473684,0.3684210526315789,0.3684210526315789,0.21052631578947367,0.05263157894736842,0.3157894736842105,0.05263157894736842
0.75,0.6,0.25,0.2,0.3,0.25,0.3,0.4,0.05,0.2,0.75,0.7,0.35,0.15,0.15,0.15,0.15,0.3,0.2,0.35,0.2,0.1,0.4,0.4,0.2,0.05,0.3,0.05
0.7142857142857143,0.5714285714285714,0.238095238095238,0.1904761904761904,0.3333333333333333,0.2857142857142857,0.2857142857142857,0.3809523809523809,0.0952380952380952,0.238095238095238,0.7142857142857143,0.6666666666666666,0.3333333333333333,0.1428571428571428,0.1904761904761904,0.1428571428571428,0.1428571428571428,0.3333333333333333,0.238095238095238,0.3333333333333333,0.1904761904761904,0.0952380952380952,0.3809523809523809,0.3809523809523809,0.19047619047619047,0.047619047619047616,0.2857142857142857,0.047619047619047616
